序号    词语          加入长度
1  股市暴跌  0.2518843775473608
2  股市大跌  0.22617348477933347
3  大跌  0.09573189913508115
4  暴跌  0.11117829106623267
5  a股  0.07095675802780757
6  股市  0.06645370598899215
7  2015年  0.04995200278500602
8  沪指  0.13283308486266257
9  中国  0.03331535265581103
10  4500点  0.027816183966314377
11  2015  0.018607650404532834
12  6月  0.01803885257118895
13  2007年  0.025045983858447578
14  2000个  0.05587901385433574
15  2008年  0.023871037364732006
16  股民  0.02822226669830622
17  证监会  0.012404856591409483
18  周群飞  0.011760668333079195
19  失守  0.013508695544496054
20  08年  0.01956522150280801
21  32  0.015298371549166224
22  导致  0.011625348584805413
23  原因  0.012162452711899018
24  07年  0.01472333130231806
25  今日  0.018654285530647942
26  5.28  0.012348470580366165
27  ipo  0.008304037223457107
28  蒸发  0.009414303061575684
29  6.26  0.010007265687715748
30  26日  0.009743412946268919
31  金融  0.009781529839736378
32  6%  0.01047652636859778
33  经济  0.007420155573225298
34  历史  0.010434653642267486
35  7月  0.00745083904775584
36  首富  0.007486594551813488
37  连续  0.006462146940167669
38  全国  0.008863022573603404
39  基金  0.00723534917748237
40  7%  0.024802538561728156
41  国家  0.007188955835511458
42  跳楼  0.007333037588424557
43  政治  0.01097523619281928
44  政府  0.00581774316866246
45  近期  0.0048734935382343456
46  有人  0.006012839439579336
47  上演  0.010083771272782779
48  5月  0.005511035472905841
49  暂停  0.005043083091550693
50  股票  0.0045704697207040465
51  希腊  0.0045704697207040465
52  身家  0.007461059498347501
53  影响  0.004210045330742859
54  兄弟  0.004133604293747153
