序号    词语          加入长度
1  转发微博  0.048213898770175116
2  南海仲裁  0.027197642689108306
3  菲律宾  0.025829800767630817
4  有理有据  0.025608991084812762
5  中国  0.024946032689531723
6  南海  0.024186796442352044
7  台湾  0.019902211333235952
8  美国  0.01888925424777532
9  铿锵有力  0.017116151450266546
10  青年  0.015742649951162955
11  good  0.01537369653206969
12  海军  0.012082994053134495
13  新闻  0.011838080656682183
14  文章  0.010752879804652683
15  分享  0.010714601200333186
16  视频  0.01028622634739814
17  主权  0.009781784965281957
18  值得  0.00967933136870216
19  国家  0.009512787278437572
20  军演  0.00930167745457871
21  徐昕  0.009043903874913278
22  国际  0.008692331417220584
23  戴军  0.008239452402017684
24  清晰  0.007865677296253664
25  仲裁  0.007722728924254717
26  大陆  0.007618215692230963
27  岛礁  0.007578201005021366
28  7月  0.007529666708703954
29  客户  0.007480950544623197
30  越南  0.007432050844493031
31  世界  0.007382965909139495
32  回复  0.007284233376399577
33  航母  0.007234582218268867
34  条理  0.006983403147232756
35  上将  0.006932569079597747
36  形式  0.006932569079597747
37  日本  0.006932569079597747
38  故事  0.006830286438947951
39  描述  0.006830286438947951
40  坐镇  0.00662320265760825
41  群岛  0.006538261746416684
42  军事  0.006306002836717429
43  媒体  0.006144297396739907
44  灯塔  0.006035293348786139
45  领土  0.0058898067561430545
46  战争  0.00581429641311558
47  舰队  0.005645831782075344
48  导弹  0.005532176259888582
49  四位  0.005417409314433694
50  局势  0.005359599206782181
51  5座  0.005184412281525722
52  微博  0.005125416469866842
53  大型  0.005066112919783114
54  凤凰  0.0050064968246993765
55  解读  0.0050064968246993765
56  发布  0.004764805367036329
57  裁决  0.004703548842264714
58  4座  0.004703548842264714
59  话筒  0.004703548842264714
