序号    词语          加入长度
1  东方之星  0.05665500987008727
2  沉船事件  0.04933793412552225
3  长江沉船  0.03218992766470909
4  长江  0.029584311575572977
5  沉船  0.029466630861618145
6  事故  0.028119748040869644
7  最新  0.02692971684144044
8  救援  0.02639044580281951
9  新闻  0.026185899560252756
10  客轮  0.024941396061575555
11  龙卷风  0.020669114507134934
12  倾覆  0.019628945100380952
13  信息  0.01806403643485243
14  相关  0.017957385161806966
15  消息  0.017261441953718717
16  船长  0.01703489397991821
17  现场  0.016753367424832407
18  458  0.015727280013184426
19  名单  0.015076136236827457
20  遇难  0.014761911712537597
21  幸存者  0.014751247979098879
22  中国  0.014443453748047962
23  湖北  0.014038934205751235
24  位置  0.013915529956200339
25  15米  0.013755210209360208
26  乘客  0.013710021163858364
27  12个  0.013602993026964303
28  找到  0.013553538916406638
29  游客  0.013301690557026744
30  发生  0.012771904487901536
31  14  0.012630793405674438
32  百度  0.01171496234536546
33  船体  0.011604011834867978
34  视频  0.011422734702983257
35  沉没  0.011382469707263438
36  小时  0.011334017812882314
37  获救  0.01117416806162377
38  客船  0.011089535257498517
39  家属  0.010412968449650669
40  水深  0.010252223698494253
41  人员  0.010188625418865603
42  潜水员  0.010184852427715827
43  生死  0.010171236016559419
44  微博  0.010162534146638817
45  旅行社  0.010125755110225426
46  疑问  0.010092746353181841
47  直播  0.009993349871805004
48  游轮  0.009975744180757464
49  中心  0.009685363612433573
50  曝光  0.009613424453109413
51  监利  0.009513965562697216
52  救起  0.009486730300106834
53  人生  0.00943211691498625
54  国务院  0.00941795214317506
55  原因  0.009383410722569928
56  轮机长  0.009064325880272827
57  救生  0.009003797622227363
58  400余  0.008913998301241524
59  公布  0.008881461626231461
60  李克强  0.008864311597908204
61  完整  0.008849936249858423
62  事发  0.008668994676045639
63  困难  0.008553603261684004
64  频道  0.008443814017289691
65  南京  0.008175708074204873
66  搜狐  0.00805315295295102
67  85岁  0.007939002950917587
68  10多艘  0.00755233611697774
69  打捞  0.007518145909296059
70  凤凰  0.007302768583968222
71  水域  0.007260711133493501
72  失事  0.007101894270573946
73  控制  0.006987878410127653
74  6.1  0.006905041174797665
75  专家  0.0068585100191306085
76  遗体  0.006778865667224436
77  人数  0.006751081514232974
78  倒扣  0.0067170123757405355
79  20150602  0.006643037720919408
80  事故现场  0.006626028948943573
81  大风  0.006577756518474525
82  东方  0.006475537614239363
83  上海  0.006463112075324009
84  在线  0.00645939801632629
85  船底  0.006388640176419454
86  韩国  0.006384905986761597
87  2015年  0.0063735816264455115
88  生还  0.006313762648917097
89  437  0.0063115514023542344
90  国内  0.006268638743548966
91  发现  0.0062497929905576165
92  轮船  0.0062006715712846485
93  新华  0.0061095157941133335
94  武汉  0.0061095157941133335
95  大雨  0.006071351890912637
96  失踪  0.006071351890912637
97  资讯  0.006006223584854338
98  第一...  0.006000033716799275
99  财经  0.005990853184810888
100  28  0.005886637355286142
101  定性  0.005871128289751217
102  com  0.005771288831974407
103  重庆  0.005762052531444129
104  门口  0.005722876900435526
105  习近平  0.00571926559002765
106  情况  0.005715027711634606
107  中游  0.005687518422966658
108  水中  0.005671772795750025
109  2013年  0.005656398633986763
110  父亲  0.005612556713156011
111  船员  0.005604640825009069
112  还原  0.005549093833253507
113  女儿  0.005461319840137778
114  水面  0.005340650517668527
115  新闻网  0.005235665099226605
116  12级  0.005197252082414127
117  桌椅  0.005194314715151485
118  面孔  0.005153361474757218
119  七张  0.005153361474757218
120  舱门  0.0051163882392202265
121  江面  0.00507104879715376
122  露出  0.005058654637855517
123  翻船  0.00501725068683753
124  瞬间  0.004900571259170116
125  关注  0.004888003491891169
126  15  0.004875422710456844
127  社会  0.004820754527671432
128  老太太  0.004728558689520072
129  一刻  0.00471066786600287
130  操作  0.004693641182027231
131  真相  0.00462957290514162
132  汇总  0.004612429306935729
133  发布会  0.0045930191475608605
134  图片  0.004522013160633046
135  不当  0.004513365577571853
136  湖南  0.004509039380610601
137  情报网  0.004504631079736752
138  10  0.00444830304530504
139  监利县  0.004399456233208578
140  船上  0.0043522106050442174
141  载客  0.004339044540891687
142  论坛  0.004325863282198231
143  岳阳  0.004299454941115443
144  6月  0.004295047584669778
145  30多  0.004194932588832635
146  工作  0.004188752526290836
147  落水  0.004188752526290836
148  12  0.004144164423914431
149  进展  0.004135225385081301
150  18  0.004085931685027343
151  悲剧  0.004085931685027343
152  事件  0.004085931685027343
153  滚动  0.004076945576864021
154  国际  0.0040724497797282305
155  不明  0.003995738757461151
156  动画  0.003973074022482504
157  参与  0.003968535412736893
158  媒体  0.003959452508326948
159  老太  0.003909360105845272
160  岁月  0.003895658152969749
161  秘书长  0.0038695432525636913
162  联合国  0.0038695432525636913
163  救人  0.0038682017983395454
164  自救  0.003854447237647408
165  报道  0.0038452677043631957
166  潘基文  0.0037932874214938917
167  一名  0.0037669206872441427
168  江苏  0.0037252069155556356
169  21  0.003711265471723249
170  22  0.00362253459790931
171  协和  0.003599057627598832
172  20  0.003594355809274188
173  气象  0.00356609962876831
174  17  0.0035235685338065805
175  报警  0.0035235685338065805
176  435  0.0034835427118460206
177  时间  0.0034618186958592975
178  回顾  0.0034522851105690585
179  1分钟  0.0034311467884210033
180  五年  0.00339968773522244
181  超载  0.0033852947695448697
182  报废  0.003361260040097036
183  三年  0.003351629791505018
184  高层  0.0033323410666227377
185  码头  0.003264530477117607
186  过程  0.0032499381167833317
187  电视台  0.00323701382390081
188  观看  0.0032060286154295867
189  大门  0.0032011374190151327
190  生命  0.0031962437325570524
191  照片  0.0031962437325570524
192  23名  0.0031834983632002445
193  中华  0.003176643989681759
194  赶赴  0.0031619177991936815
195  张顺文  0.003129729104958267
196  警方  0.0031274679359769757
197  保险业  0.0030847236546540703
198  时政  0.0030780354356546233
199  段翻沉  0.0030576326627449316
200  资料  0.0030383013049376647
201  追问  0.0030383013049376647
202  几率  0.003028341286293414
203  社区  0.002948272808922126
204  公安  0.002948272808922126
205  持续  0.0029432452994465484
206  河南  0.0029281461397810825
207  第一  0.002923107522885897
208  切割  0.0029180661141258294
209  亲人  0.0028877586914107726
210  天津  0.0028877586914107726
211  确认  0.0028776336046093622
212  吸取  0.0028674971284523842
213  90  0.0028674971284523842
214  教训  0.0028624246035996383
215  女孩  0.0028522709485683875
216  四名  0.0028522709485683875
217  424  0.0028384411527237145
218  紧急  0.002826836313344058
219  青岛  0.002791105348613598
220  盘点  0.002791105348613598
221  方案  0.0027654946131854875
222  一具  0.0027346628935130415
223  船舶  0.0027295136927141276
224  独家  0.002703721913220022
225  1日  0.0026933837038368774
226  1天  0.0026830331218479922
227  上岸  0.002672670107626577
228  24  0.002651906541083084
229  13  0.0026415058665860587
230  几何  0.0026363007795106867
231  海洋  0.0026206664251924093
232  今日  0.0026206664251924093
233  十一  0.0026102275324739574
234  登记  0.002599775773481675
235  有人  0.0025735896612204684
236  2名  0.0025683426506796325
237  关键  0.002542058199360438
238  海事  0.00253679137016274
239  成功  0.0025262477043774853
240  调查  0.0025156906376184148
241  难度  0.002483938328026618
242  实录  0.002468016106475217
243  机关  0.0024573840635171355
244  11  0.0024467381512738016
245  济南  0.0024093671480502126
246  豪华  0.0024093671480502126
247  释疑  0.00239329789806885
248  旅游  0.0023825671667758817
249  山东  0.0023825671667758817
250  让出  0.0023394993108063642
251  遭遇  0.002334099354489868
252  华容  0.0023232883438057475
253  悲痛  0.0023178772681369136
254  深感  0.00230162163071948
255  地点  0.00230162163071948
256  3岁  0.002279894749007116
257  启动  0.0022526504515281267
258  公司  0.0022526504515281267
259  通报  0.0022471900525749843
260  1分  0.002236257622849244
261  水道  0.0022198297226510787
262  江段  0.0022198297226510787
263  噩耗  0.0022033664301545183
264  40  0.002197870744740656
265  等待  0.002186867418658289
266  载有  0.002164812597685961
267  岸边  0.0021482289368335177
268  星号  0.0021482289368335177
269  组织  0.0021439806747387156
270  七月  0.0021316084230334482
271  快讯  0.0021038247056956614
272  3具  0.002087104166166873
273  驰援  0.0020815221857511954
274  老人  0.0020647506467424584
275  装备  0.002042328334221139
276  好友  0.0020367118987752323
277  97  0.0020310910910095485
278  幸免  0.0020254658960525344
279  天涯  0.0020085638377890683
280  解读  0.0020029209433052855
281  福建  0.001985965419202913
282  安徽  0.0019632948398907515
283  身份  0.0019576158006338403
284  热点  0.0019519321712235895
285  要闻  0.001946243935266938
286  指挥  0.0019234445939755142
287  敲击  0.0019177330752333452
288  空气  0.0019120168490736834
289  同行  0.0019062958982536213
290  观点  0.0019062958982536213
291  青年  0.0018948397530253525
292  应急  0.0018948397530253525
293  19  0.0018776196617916272
294  画面  0.0018603560922736506
295  影响  0.001854591822187211
296  2日  0.001843048550392804
297  江西  0.0018256965307120862
298  网络  0.0018256965307120862
299  剧烈  0.001814103552795641
300  颠簸  0.001814103552795641
301  全国  0.0018082995160398775
302  死亡  0.0017966762481417921
303  迹象  0.0017850325875160217
