序号    词语          加入长度
1  股市暴跌  0.18748372644137162
2  股市大跌  0.17606910567707976
3  大跌  0.0675046475604381
4  暴跌  0.0825472182393981
5  股市  0.04775338113672097
6  4500点  0.04507226795110214
7  2015年  0.03838727065043122
8  a股  0.05277846163461591
9  沪指  0.09607636920045709
10  32  0.015181758350689589
11  失守  0.02118847606497011
12  6月  0.018683174053334688
13  股民  0.021840521553852858
14  2007年  0.020244511141556027
15  导致  0.011198842537654602
16  2008年  0.014566327944567374
17  6%  0.017293557413637077
18  中国  0.014285370872377896
19  5.28  0.015788039323206788
20  今日  0.01715468805429519
21  6.19  0.010715329716008309
22  全国  0.009856847983690471
23  26日  0.009106141180782703
24  07年  0.010240007512182632
25  08年  0.013085186381879995
26  跳楼  0.007497750067347834
27  5月  0.006502170690024195
28  历史  0.011825402418552221
29  上演  0.01700766130706266
