序号    词语          加入长度
1  股市暴跌  0.17770255864236179
2  股市大跌  0.18022390037499517
3  大跌  0.06786180776704803
4  暴跌  0.0881051167834561
5  股市  0.04723477902312183
6  2015年  0.035408302521536185
7  32  0.02382951329926107
8  a股  0.059802943265984086
9  导致  0.01896390343516691
10  股民  0.02520283473612803
11  2007年  0.024299205767019463
12  5.28  0.02621487379001698
13  沪指  0.09606135542279086
14  全国  0.017343111394245315
15  今日  0.020369845383564386
16  6月  0.0174179623461917
17  08年  0.014054853355798518
18  跳楼  0.010991243912558344
19  5月  0.010874985134623177
20  中国  0.009660801478672732
