序号    词语          加入长度
1  转发微博  0.049056887702603386
2  有理有据  0.026954249797245162
3  南海仲裁  0.026954249797245162
4  中国  0.025398613933386514
5  南海  0.024513131984430933
6  菲律宾  0.023679763974232947
7  台湾  0.02062469943527149
8  美国  0.019142441354473138
9  good  0.016934076239550965
10  铿锵有力  0.01689709364850897
11  青年  0.016633064353402467
12  海军  0.013088599777403868
13  新闻  0.012174468925186704
14  文章  0.01136073701069999
15  视频  0.011120041580662156
16  分享  0.010973574023225055
17  主权  0.010294318947765951
18  军演  0.010268674546623632
19  值得  0.010112818590473766
20  徐昕  0.0093612245974049
21  国家  0.00930593380450706
22  清晰  0.008798001741156832
23  戴军  0.008270377935358834
24  形式  0.008029091024229888
25  条理  0.008029091024229888
26  客户  0.007968084689663101
27  故事  0.007906798591849541
28  描述  0.007906798591849541
29  上将  0.007783374743278853
30  航母  0.007783374743278853
31  大陆  0.007772714230658048
32  坐镇  0.0074696954401108845
33  岛礁  0.007277838689589492
34  越南  0.007277838689589492
35  回复  0.007213256079535527
36  国际  0.007213256079535527
37  7月  0.006951667220685405
38  仲裁  0.0067519341732244125
39  日本  0.0067519341732244125
40  世界  0.006684657681387411
41  舰队  0.006342810559271155
42  群岛  0.006298858509037152
43  军事  0.00627331087831153
44  领土  0.006158677363924879
45  四位  0.00613313570420901
46  媒体  0.006062448030113553
47  战争  0.005991351856281238
48  导弹  0.00570274714057066
49  灯塔  0.00570274714057066
50  微博  0.00562950519541866
51  解读  0.00540703795509857
