序号    词语          加入长度
1  股市暴跌  0.24681520320805864
2  股市大跌  0.22308315264526035
3  大跌  0.0931932228367034
4  暴跌  0.10886830660473265
5  股市  0.06404353853087706
6  a股  0.06724003934786843
7  2015年  0.04820989609752875
8  沪指  0.13035542772652073
9  中国  0.030402521346467162
10  4500点  0.02954330755658843
11  6月  0.018751064862059477
12  2015  0.017283415968234194
13  2007年  0.025042561482425545
14  2000个  0.05928949806951831
15  股民  0.02821706480508254
16  2008年  0.02295621059812677
17  证监会  0.012667583545483167
18  导致  0.011608504941219596
19  失守  0.014363773325376058
20  32  0.015533194507937954
21  08年  0.019334702791391885
22  07年  0.014564649402104444
23  原因  0.010645394607690001
24  今日  0.01855133778438831
25  5.28  0.012897274069303476
26  ipo  0.008814338848953702
27  6.26  0.010487601603661405
28  26日  0.010320713978333602
29  6%  0.011152290481409177
30  金融  0.00836433115622537
31  历史  0.010725374739776593
32  经济  0.00633367766840452
33  7%  0.026308043009056842
34  全国  0.009053250552997114
35  连续  0.006218194534471986
36  跳楼  0.007560678036761687
37  7月  0.0071447589934505815
38  基金  0.006677029004440719
39  国家  0.006310623311825377
40  政治  0.00884286599194856
41  政府  0.005549330221909549
42  近期  0.004513699715690582
43  上演  0.010735359840944403
44  有人  0.0060556157265526
45  5月  0.0057625771879003095
46  暂停  0.005370108100407132
47  希腊  0.004494955096603174
48  股票  0.004293888413220527
