序号    词语          加入长度
1  转发微博  0.04788541806726351
2  南海仲裁  0.03837292033726678
3  中国  0.024400042215660753
4  菲律宾  0.023623518648162225
5  南海  0.023526015511253894
6  美国  0.01762192314804282
7  航天  0.01595782239297095
8  good  0.015945960082076136
9  台湾  0.015747661103318794
10  有理有据  0.015648654203281445
11  600855  0.014947646536951081
12  601989  0.013792660483202273
13  人民日报  0.013408859950595117
14  青年  0.01284873082580254
15  军工  0.012736355239217227
16  000519  0.012704490929493054
17  主权  0.012012774356092134
18  仲裁  0.011971314094807728
19  国际法  0.011901866837150731
20  600435  0.010638984402239659
21  海军  0.01051542558304878
22  分享  0.010001600690314213
23  紧张  0.00992077614389864
24  关注  0.009824616168929169
25  铿锵有力  0.009741356866545673
26  12日  0.00973795864894219
27  7月  0.009516687411971769
28  裁决  0.009509086764095915
29  新闻  0.009497551761269731
30  国家  0.009386878896947493
31  视频  0.008910308890699853
32  军演  0.008886420823997114
33  600879  0.008629318852688299
34  概念  0.008580020904016213
35  600343  0.008462477454826263
36  加剧  0.00844059539607673
37  2016.7.11  0.008420226790181654
38  国际  0.008241192174231035
39  大陆  0.008189816832150821
40  区域  0.008174040747260755
41  文章  0.00787609892936492
42  领土  0.007298465760948922
43  值得  0.007131534085344292
44  提升  0.007113263883713057
45  一张  0.006938359840324659
46  军事  0.006919806145739859
47  岛礁  0.006798530259266881
48  废纸  0.006694980551719574
49  日本  0.006666588911552005
50  发射场  0.006200362921057686
51  灯塔  0.0060844847214970845
52  载人  0.0060147126987452415
53  微博  0.005994702813039704
54  破坏  0.005974659305593517
55  导弹  0.005954582022179036
56  重工  0.00594453066589941
57  发表  0.00594453066589941
58  航母  0.005802909836683311
59  世界  0.005772340385717412
60  演习  0.005690430874792866
61  自古以来  0.00567084693252832
62  政府  0.005618286682026626
63  公布  0.005597591767017336
64  徐昕  0.005545692599472188
65  回复  0.0054935598239235755
66  单方面  0.00547337136191631
67  10日  0.005459046344904247
68  凤凰  0.0054516833904445635
69  导航  0.00539912250098724
70  媒体  0.005388581359418091
71  战争  0.005378030503955309
72  官方  0.005303900350760916
73  发布  0.0052719819633005064
74  局势  0.0052719819633005064
75  客户  0.005250653062011749
76  捍卫  0.005239973536693755
77  江南  0.005229283924898958
78  律师  0.00520787433088726
79  今日  0.005154171873968583
80  解读  0.005089388281975774
81  11日  0.005085705395188034
82  解放军  0.005065007067559111
83  北京  0.0049586816882399715
84  合法  0.00492943892975586
85  北方  0.004863304343607737
86  清晰  0.00483749460167275
87  舰队  0.004826410921363456
88  博文  0.004804209750444453
89  戴军  0.004759671192944811
90  群岛  0.0046961943116733814
91  市场  0.00468128575830299
92  部署  0.00465878495092334
93  天宫  0.004636236943870041
94  二号  0.004602325766702804
95  大型  0.004579658419553511
96  维护  0.004549242273884424
97  5座  0.00452277811552373
98  义勇军  0.004494039867693493
99  支持  0.004408091877740886
100  我国  0.004284143741747453
101  上将  0.004257094795752866
102  故事  0.004198426505224141
103  和平  0.004198426505224141
104  形式  0.004198426505224141
105  交通部  0.004143684070185488
106  描述  0.004127577320774624
107  接受  0.004103850750869785
108  韩国  0.004068156173153406
109  条理  0.00405622984117495
110  陈光武  0.004009753527775542
111  阶段  0.004008382366674105
112  太平  0.004008382366674105
113  坐镇  0.003948249012806665
114  蔡英文  0.003942237315843966
115  专家  0.0039398528143301335
116  越南  0.003936178571016321
117  信息  0.0038756042797863256
118  拳头  0.0038427538678400047
119  报道  0.0037656185624804902
120  明天  0.0037410073585034983
121  发光  0.0036792028285108267
122  美军  0.003666793970651916
123  4座  0.0036294702295959925
124  电子  0.003620669747670144
125  相关  0.003566935758494123
126  动力  0.0034533128445789294
127  参与  0.0034533128445789294
128  建设  0.003427873456720241
129  地区  0.003427873456720241
130  社会  0.0034151273823553965
131  中华  0.00338958204932353
132  利益  0.00338958204932353
133  否定  0.003351129793965332
134  舆论  0.0032996057933973514
135  法庭  0.0032477857733088306
136  影响  0.0032217628679695434
137  总统  0.00319566366097276
138  历史  0.00319566366097276
139  海域  0.003173159234844676
140  发展  0.00315637003254391
141  四位  0.003116900155387701
142  解决  0.003103703871950175
143  最终  0.003077251171331215
144  建立  0.003077251171331215
145  霹雳  0.0030314653827331057
146  洋人  0.0030241021314445027
147  亚洲  0.0030107634523815303
148  手段  0.0029840235779428847
149  话筒  0.002970622144872614
150  全球  0.002943755682525223
151  战略  0.002943755682525223
152  海洋  0.002903295142601834
153  希望  0.0028626385383250024
154  环球  0.0028626385383250024
155  西沙  0.002849042158281978
156  朋友  0.002849042158281978
157  一点  0.0028254526659084998
158  请求  0.0027944321495817375
159  争议  0.002780722832414871
160  威武  0.002753235025837794
161  对抗  0.0027256540157269203
162  一位  0.0027256540157269203
163  股份  0.002711828187142563
164  民间  0.0026979786071958576
165  权益  0.0026979786071958576
166  放弃  0.0026841051216677366
167  技术  0.002670207574323401
168  势力  0.002670207574323401
169  黄岩  0.0026599552566547234
170  两岸  0.002586307978736761
171  事实  0.002586307978736761
172  朝鲜  0.002572237446156884
173  挑衅  0.002544020036902642
174  消息  0.002544020036902642
175  差别  0.0025298728051617045
176  8日  0.0025051688816459653
177  承认  0.002487274818205637
178  南沙  0.0024730227703165103
179  在线  0.0024730227703165103
180  el  0.0024444384487763335
181  立场  0.0024444384487763335
182  系统  0.0024157458471353735
