序号    词语          加入长度
1  股市暴跌  0.2723323550949229
2  股市大跌  0.27237950465215083
3  暴跌  0.1314442208495866
4  大跌  0.1231934178648942
5  2015年  0.08760821242753088
6  股市  0.09861286749303959
7  32  0.05622751239161862
8  a股  0.07795414022567922
9  导致  0.04595684536320295
10  沪指  0.059092546921808396
11  28日  0.033314589696820864
12  2008年  0.03853545208291459
13  2007年  0.06174506791405961
14  6月  0.0422397363119978
15  5.28  0.06568663277121353
16  全国  0.04240541812791343
17  16日  0.033314589696820864
18  股民  0.05838666977288226
19  08年  0.03596157591041738
20  今日  0.04777172500263813
21  07年  0.025903567235825084
22  希腊  0.015317422936716708
23  中国  0.02357952758683537
24  失守  0.01651213811536789
25  5月  0.027563544981640143
26  财经  0.016427810251004808
27  破裂  0.014267707883282039
28  跳楼  0.027149125919261417
