序号    词语          加入长度
1  股市暴跌  0.17805789778528694
2  股市大跌  0.16767319447869392
3  大跌  0.06352582908026726
4  暴跌  0.07492696027979089
5  股市  0.04398199104284928
6  4500点  0.04058229851374976
7  2015年  0.03552691705212734
8  沪指  0.08856283977753315
9  a股  0.05038368125251219
10  2000个  0.07526269564972243
11  6月  0.017976764156344957
12  失守  0.01878477332632709
13  32  0.013534755017318923
14  股民  0.020003772098207702
15  2007年  0.018255946843944035
16  导致  0.009869199694743562
17  中国  0.013232043560526771
18  6%  0.01505749426249659
19  2008年  0.013105598473610465
20  5.28  0.013834702686063306
21  今日  0.01503717485126431
22  全国  0.008666007096049397
23  26日  0.010679631035709063
24  07年  0.009242674785522919
25  7%  0.03336428212799976
26  08年  0.012016163758518043
27  上演  0.014819854864280028
28  历史  0.011135977195872405
29  跳楼  0.006746660350182922
30  5月  0.005822597524139428
