序号    词语          加入长度
1  股市暴跌  0.2630339835595872
2  股市大跌  0.22869363299040424
3  大跌  0.09756669103208813
4  暴跌  0.11246839092746314
5  a股  0.07275880815604623
6  股市  0.06743155794245957
7  2015年  0.04797601091534602
8  沪指  0.13581814282627305
9  中国  0.035162211364796365
10  4500点  0.02588235658971928
11  2015  0.018275973515066286
12  6月  0.01697604489896361
13  2007年  0.023538800751384075
14  2000个  0.05211249660400175
15  股民  0.027443904803360626
16  2008年  0.02274925153230575
17  周群飞  0.011729996727808757
18  证监会  0.011648490143398403
19  导致  0.011059352707327854
20  08年  0.019173379179093307
21  失守  0.012557522117699595
22  32  0.01491127789699244
23  原因  0.012129544487069419
24  07年  0.014322286572262479
25  蒸发  0.009344689589892612
26  今日  0.017961434808289812
27  5.28  0.011477647025250183
28  ipo  0.007720286275815429
29  6.26  0.00932566353362224
30  26日  0.009056335837986302
31  金融  0.009858074465650382
32  经济  0.007651914904864707
33  7月  0.007236851451197882
34  6%  0.009745622509020913
35  历史  0.009888287068760293
36  连续  0.006182879718735809
37  首富  0.00751268099810354
38  全国  0.008229583816484027
39  新华社  0.006207676971826774
40  基金  0.006991464192334411
41  国家  0.007577740697251801
42  7%  0.023348770564060813
43  跳楼  0.006839352057309762
44  政治  0.010959016502685189
45  政府  0.005593965971848995
46  近期  0.004803546289916869
47  有人  0.005688973614927788
48  上演  0.009366603252833564
49  影响  0.004341255422088899
50  5月  0.005164034128125796
51  股票  0.004489512623010501
52  暂停  0.004673288244219957
53  希腊  0.0042827001050259415
54  身家  0.007508028216558386
55  房价  0.003922045223344497
56  波及  0.0521693163217721
