序号    词语          加入长度
1  转发微博  0.05871953413926115
2  南海仲裁  0.05290204707576605
3  中国  0.030961461860287108
4  doge  0.021823419864823113
5  南海  0.02048463324201428
6  明天  0.020247959988533605
7  菲律宾  0.01923684731940038
8  同意  0.018635075528136785
9  美国  0.017932773093050604
10  一点都不能少  0.017418994533888153
11  参与  0.016693435070693777
12  发起  0.016229895164084168
13  投票  0.016229895164084168
14  仲裁  0.01621107634191829
15  good  0.016139034765319665
16  选项  0.01583972455473041
17  国家  0.013869060597448076
18  岛礁  0.013651007115757417
19  群岛  0.013296187029256504
20  表态  0.01325130889340062
21  南沙  0.013183768761187308
22  领土  0.013013735359307381
23  50  0.012956677705796915
24  陈浩  0.012945243173072205
25  举手  0.012876474104009888
26  年轻  0.012262407634766728
27  主权  0.011810105963994753
28  微笑  0.010651691971439933
29  法医  0.01047471090348522
30  秦明  0.01047471090348522
31  哈哈哈  0.009311019347645761
32  支持  0.008935884702290077
33  台湾  0.008819155733789458
34  演习  0.008760470911342376
35  外国人  0.008679614026726644
36  祖国  0.008418773428231172
37  中华  0.008176639065805338
38  历史  0.007992548451250277
39  大战  0.007868598249362112
40  悲哀  0.007790621320555651
41  沙市  0.007696524160693416
42  丸子  0.007538398175996877
43  外交部  0.0073569069214023215
44  微博  0.007330342122024578
45  国际  0.007298077307134676
46  新闻  0.007265743018294385
47  期待  0.007070254462065935
48  接受  0.00698803584701762
49  cry  0.006948471594085718
50  独家  0.006921929747523256
51  逻辑  0.00651888394156334
52  清晰  0.006336090692270388
53  军事  0.006313050362480314
54  日本  0.006313050362480314
55  义勇军  0.0059302300216846435
56  世界  0.005927691661067421
57  见证  0.005892122191147456
58  西方  0.0058743028003887246
59  联合国  0.005835151212124937
60  希望  0.005808563973976073
61  国际法  0.005767404842804554
62  战争  0.005766895373701512
63  同传君  0.005631087048865839
64  12日  0.005596832656119505
65  拳头  0.005494580009039323
66  吃惊  0.005365568088035204
67  裁决  0.005259737509940957
68  青年  0.005235273614545883
69  文化  0.005222323196354752
70  厕所  0.005216553007379993
71  威武  0.0052035753724089815
72  立场  0.005179030205557996
73  回复  0.004970666308054441
74  话筒  0.0049056074229316725
75  和平  0.004778211866458766
76  兔子  0.004719889036630586
77  团结  0.0046612878417171795
78  承认  0.0046612878417171795
79  分享  0.004641691470968516
80  反对  0.004622063495949951
81  转发  0.004523443411537875
82  关注  0.004523443411537875
83  视频  0.004363942106821712
84  面对  0.0042428840420434665
85  7月  0.0042428840420434665
86  公布  0.004141028382926553
87  记者  0.003996886182894886
88  媒体  0.0039553616956009416
89  平时  0.00393454135807657
90  娱乐  0.003892783183964234
91  导弹  0.003665982743950474
92  吵架  0.0036602203365034736
93  好久  0.0036602203365034736
94  飞扬  0.0036602203365034736
95  出炉  0.003617391135784062
96  青椒  0.003552820364080349
97  一点  0.003552820364080349
98  不见  0.003552820364080349
99  政府  0.003531208248506164
100  捍卫  0.003531208248506164
101  事情  0.003531208248506164
102  政治  0.0035095513000705774
103  我国  0.003444307927669565
104  侵犯  0.0034005816114007262
105  大陆  0.0033566672105112723
106  加油  0.0033566672105112723
