序号    词语          加入长度
1  股市暴跌  0.12284416437991832
2  股市大跌  0.11709260448694497
3  大跌  0.04363961197949463
4  4500点  0.05272737385795784
5  2015年  0.023662303097363918
6  股市  0.028787330115651974
7  暴跌  0.04864192931255571
8  a股  0.03571673348707744
9  失守  0.02315475885675085
10  32  0.013938037011010136
11  沪指  0.055375487697488575
12  导致  0.010689264709467478
13  股民  0.01468171371019324
14  2007年  0.014288762845454363
15  6%  0.020656628716343564
16  6月  0.011237439041847574
17  5.28  0.0136319310166624
18  全国  0.009767784380357391
19  今日  0.010260788312107163
20  中国  0.007179436078486743
21  跳楼  0.006287677473148852
22  5月  0.005693075521249137
23  上演  0.02046434122463044
