序号    词语          加入长度
1  转发微博  0.050996667620853336
2  南海仲裁  0.03011226817372041
3  中国  0.02608310477231546
4  南海  0.0255785608079108
5  菲律宾  0.023863407933502993
6  有理有据  0.020848656723068397
7  台湾  0.020225765763471862
8  good  0.020073105746181985
9  美国  0.019114480942224295
10  海军  0.016141661631956853
11  青年  0.015874333828586197
12  新闻  0.015782690961241748
13  视频  0.013508162283096856
14  分享  0.01333427077172919
15  主权  0.012483181187317005
16  军演  0.012241924824762544
17  客户  0.010848968611783366
18  清晰  0.010316144989014363
19  条理  0.009986534990586335
20  大陆  0.009981768875571603
21  描述  0.00987493278882577
22  形式  0.00987493278882577
23  故事  0.00987493278882577
24  上将  0.009762440566871996
25  坐镇  0.00930326195058195
26  岛礁  0.009186082639032252
27  国家  0.008948738785833694
28  四位  0.00846156203978879
29  日本  0.00833704247659714
30  舰队  0.008084570548023008
31  航母  0.007827351472395274
32  军事  0.0076968935801103875
33  媒体  0.007565164515416352
34  灯塔  0.0074321333020167454
35  群岛  0.0073505072156158716
36  解读  0.007297767416909146
37  回复  0.007024893081001698
