序号    词语          加入长度
1  长江沉船  0.08452062526921644
2  东方之星  0.07824036673799642
3  沉船事件  0.061841249666796216
4  沉船  0.04380824366004982
5  长江  0.03593856642219292
6  事故  0.04166924506947938
7  新闻  0.02601707369005373
8  遇难  0.038551566884298116
9  救援  0.03397823703524489
10  最新  0.03653470441232673
11  客轮  0.02206998340562658
12  船长  0.02694566965171121
13  消息  0.018869930357849347
14  现场  0.016563706866428343
15  小时  0.014576803948207937
16  中国  0.015075169692288996
17  2015年  0.011752991411141852
18  倾覆  0.01237094815452359
19  幸存者  0.01954232503734971
20  人员  0.020674522383936817
21  名单  0.016042427519976234
22  曝光  0.01726520869166933
23  打捞  0.015201756057053904
24  相关  0.025278051534951947
25  客船  0.01050815586437734
26  视频  0.010744893575563385
27  直播  0.012707599121153235
28  人数  0.019136475298096665
29  百度  0.018392044713138347
30  工作  0.01156601777751582
31  状况  0.02457892877610111
32  乘客  0.010898702352956804
33  原因  0.013363129517266764
34  396  0.022475568665855577
35  凤凰  0.007593132261054764
36  遗体  0.011667586087995696
37  6月  0.007023058220627554
38  频道  0.008066546122155504
39  游客  0.009879716572646757
40  获救  0.008994839928963801
41  事件  0.009488626942517283
42  发生  0.00968185311222287
43  船体  0.01101402014719786
44  游轮  0.008129626590662919
45  家属  0.009628551936897304
46  湖北  0.007500258099221333
47  沉没  0.007717385833729573
48  龙卷风  0.01024192588300888
49  潜水员  0.01190763763120659
50  生死  0.009889586148318405
51  331  0.016026538877985025
52  李克强  0.011103061122763653
53  搜狐  0.007225311145696509
54  12个  0.014109083690430112
55  458  0.007247768135938931
56  疑问  0.01068774882764051
57  照片  0.009465809853095893
58  监利  0.0067599914800190114
59  14  0.008544645218183005
60  完整  0.008469267864509307
61  女孩  0.008296040805842373
62  首次  0.020375608854228417
63  东方  0.005588575296201704
64  生还  0.008502648284649934
65  找到  0.006398007544692537
66  逃生  0.007346829739688076
67  公布  0.007763096446128405
68  国内  0.0055558582763381124
69  3岁  0.008232077621263864
70  张顺文  0.006486643289467402
71  位置  0.006343888007120395
72  真相  0.006920297253382775
73  扶正  0.006121359595718499
74  专家  0.006556727695570171
75  发现  0.0059754749213398435
76  媒体  0.005164591348461704
77  事发  0.0056976022793219306
78  中心  0.005058583934488851
79  今日  0.005603524785433245
80  过程  0.004922322261938576
81  整体  0.006755087262587262
82  遗物  0.013248239065463251
83  公司  0.00525352443928919
84  清理  0.013636771793429333
85  图片  0.004414741965383147
86  12  0.004306007482744329
87  6.1  0.006268240236110302
88  重庆  0.004200655683541336
89  切割  0.004789742724031702
90  在线  0.004515770479923719
91  救人  0.004613110851975474
92  回忆  0.006877538169898522
93  南京  0.004611927847064103
94  400余  0.005494928292431888
95  进展  0.004167389569000525
96  时间  0.00444291323259148
97  旅行社  0.0048388455150781325
98  确认  0.004779223869699592
99  20150604  0.0045145634148465764
100  事故现场  0.00419006513559547
101  1天  0.003857846444674494
102  还原  0.004917401272791428
103  天涯  0.004514877023061449
104  报道  0.003890669586179876
105  翻船  0.004602756176363605
106  国际  0.004462957502851844
107  轮机长  0.005003878230831348
108  妻子  0.005901769859592407
109  关注  0.004028535128075178
110  资料  0.004385610627312854
111  露出  0.005187920592163041
112  指挥  0.005711074953677624
113  新华  0.004093845492281885
114  社会  0.004018030121125166
115  20150602  0.0036536036660107718
116  中华  0.004560963897500248
117  上海  0.00417869112082141
118  失事  0.004118099316439915
119  持续  0.004209187635353531
120  消防  0.006687319319745804
121  15米  0.003997585397401551
122  韩国  0.00518934193730093
123  7年  0.00580506630459649
124  七张  0.004713892553142898
125  失踪  0.003924964562012405
126  调查  0.004141083611193412
127  水域  0.0036109444638478105
128  轮船  0.003866294850938722
129  父亲  0.00390221553228834
130  汇总  0.003722204963838189
131  狂风暴雨  0.0059855577909057765
132  水面  0.004149960099635662
133  面孔  0.004522618403826458
134  困难  0.004056917726251811
135  111  0.004269570789524161
136  泰坦尼克号  0.007269549244087831
137  下落不明  0.0037687411738747934
138  让出  0.004249336121054327
139  一刻  0.004121779511484361
140  资讯  0.003566152217494855
141  2天  0.003552039991278927
142  75  0.0042012652906808015
143  回顾  0.0038271340110990334
144  老人  0.0038515847040418863
145  dna  0.00387160599897415
146  35年  0.0037479568983115395
147  20150603  0.00301385424377107
148  观看  0.0036150952896643425
149  救起  0.0035703185513432448
150  女儿  0.0036304090618031765
151  武汉  0.0036055143029019776
152  一等功  0.004156918634120501
153  2013年  0.0027876938338279615
154  江苏  0.003493565233010748
155  第一  0.0035856893915986645
156  生命  0.003605833791906548
157  掌舵  0.005753069459025388
158  新闻网  0.0033902816273042495
159  情况  0.003350389218322352
160  人生  0.003230919295117671
