序号    词语          加入长度
1  股市暴跌  0.1937834476227257
2  股市大跌  0.18325295796709237
3  大跌  0.06919448002297494
4  暴跌  0.08416630365648722
5  股市  0.048632085253336975
6  2015年  0.03765091410821461
7  a股  0.05319300656327259
8  沪指  0.09911853750693408
9  4500点  0.038273141858332485
10  中国  0.01906702487177444
11  6月  0.019274010647778294
12  2000个  0.07555418377067977
13  股民  0.022246852674265884
14  32  0.0140511815113808
15  失守  0.017765589880446273
16  2007年  0.019703249192042506
17  ipo  0.010686765959436406
18  5.28  0.01372237222597796
19  导致  0.010028847986297528
20  2015  0.009972031305905283
21  2008年  0.014466710594853464
22  26日  0.011875770868903126
23  6.26  0.01141524960146949
24  6%  0.014160029664928403
25  今日  0.016404328902974042
26  证监会  0.00878363002386805
27  08年  0.0133549261577627
28  07年  0.010384265284204042
29  全国  0.008878430947785981
30  7%  0.03345800669263969
31  跳楼  0.006939953012513087
32  历史  0.011100777932656127
33  5月  0.00588863263327009
34  上演  0.013948482706270943
35  暂停  0.006671190267548158
36  基金  0.005113581311007092
37  有人  0.004891980404627935
