序号    词语          加入长度
1  转发微博  0.05834739907208716
2  南海仲裁  0.05329867207734077
3  中国  0.030856033000261934
4  doge  0.021012544511685466
5  南海  0.020950740092172824
6  菲律宾  0.019766377533876837
7  明天  0.019529639834759905
8  同意  0.01842273763536021
9  美国  0.018287833710299083
10  一点都不能少  0.017324166907161303
11  参与  0.016409689436858173
12  仲裁  0.016109958880626277
13  投票  0.015918685141115503
14  发起  0.01590118481079872
15  good  0.015712417139509622
16  选项  0.015520330040897238
17  国家  0.013942230902575164
18  岛礁  0.013432175711718898
19  群岛  0.013114433139295884
20  表态  0.013104083197112594
21  南沙  0.012958514496768476
22  领土  0.012906220355207151
23  50  0.012737783755388856
24  陈浩  0.012727200545361007
25  举手  0.012663561801195655
26  年轻  0.01179662626395747
27  主权  0.011690312907604772
28  微笑  0.010421459282850728
29  法医  0.010010364870900927
30  秦明  0.010010364870900927
31  支持  0.00942746742189546
32  哈哈哈  0.008816466759770627
33  台湾  0.008634217493312054
34  演习  0.008607085607670945
35  祖国  0.008415846769657257
36  外国人  0.008255754097956232
37  中华  0.008166497634079284
38  历史  0.00794145248932086
39  外交部  0.007620081381631386
40  大战  0.00755406270710304
41  新闻  0.00755406270710304
42  悲哀  0.007481229762323092
43  沙市  0.007437360849581937
44  国际  0.007422709461757827
45  丸子  0.007230928448790285
46  微博  0.0071116726638262105
47  接受  0.006976351560240663
48  cry  0.006787848253232494
49  期待  0.0067633399829896065
50  独家  0.006640203030385134
51  日本  0.006437828504305499
52  军事  0.006390716047539639
53  逻辑  0.006232530460858091
54  义勇军  0.006186261289546488
55  战争  0.006120729566950593
56  世界  0.006120729566950593
57  12日  0.006038966389414433
58  清晰  0.006029479361000812
59  西方  0.0058617439274473125
60  联合国  0.0058234153325080465
61  希望  0.005785095130517018
62  国际法  0.005699000592632821
63  裁决  0.0056860976779673274
64  见证  0.005631025387990852
65  立场  0.005396255837057139
66  拳头  0.0053623733463357
67  同传君  0.005320037502454438
68  和平  0.005277279979775232
69  文化  0.0052654921666382346
70  威武  0.005196921939714152
71  吃惊  0.005105393717399623
72  厕所  0.005088077564251259
73  青年  0.005035987105180572
74  分享  0.0049311575138448515
75  回复  0.0048431245595629184
76  话筒  0.004818354622296106
77  承认  0.004647216068001932
78  兔子  0.004611256283153459
79  反对  0.004520885173976051
80  7月  0.004484545153957869
81  团结  0.004448093946725702
82  关注  0.004374853239199162
83  视频  0.004338061309462327
84  转发  0.004301153331958539
85  公布  0.004245570963363229
86  记者  0.004114826824873348
87  面对  0.004077194595266103
88  媒体  0.003982560952550629
89  出炉  0.003887117879334217
90  政府  0.003790839915509832
91  娱乐  0.0037714817807513153
92  平时  0.00375208894631696
93  海军  0.0037131982623123676
94  导弹  0.0036794573809408285
95  一点  0.0036153479508918215
96  政治  0.003556200354235904
97  捍卫  0.003556200354235904
98  加油  0.003556200354235904
99  事情  0.003536410061107377
100  好久  0.0035165821153712454
101  我国  0.00349671624810253
102  吵架  0.003456869653838606
103  飞扬  0.003456869653838606
104  航母  0.00343688836930989
105  侵犯  0.00341686804800593
106  大陆  0.0033767091342148444
107  青椒  0.0033565699504144904
108  不见  0.0033565699504144904
109  一句  0.0032959098487317846
110  废纸  0.003255264526108694
111  今日  0.0032348793237356173
