序号    词语          加入长度
1  转发微博  0.049968988512330864
2  南海仲裁  0.031082800239875658
3  菲律宾  0.02699053470789964
4  中国  0.025797202387086254
5  南海  0.025059079625176953
6  有理有据  0.02496437249830767
7  美国  0.019666328017985502
8  台湾  0.01961370843554597
9  铿锵有力  0.017643282680699167
10  good  0.016027187576843526
11  青年  0.015560698929480537
12  新闻  0.012761855738134159
13  海军  0.012544911276142691
14  分享  0.012260969882011426
15  视频  0.010521108231528272
16  文章  0.010237520599560266
17  主权  0.010136494917472297
18  人民日报  0.010059140890338913
19  军演  0.00977148060576808
20  国家  0.009104156998968039
21  仲裁  0.009041872254096025
22  值得  0.008947916747488013
23  客户  0.008630033897588036
24  戴军  0.008565567187259093
25  国际法  0.0085040686886877
26  国际  0.008500796331172573
27  岛礁  0.00833751655857356
28  徐昕  0.008205472799501103
29  军事  0.00800497224677308
30  7月  0.0078014568284648115
31  交通部  0.00769955918853203
32  大陆  0.00765761141546754
33  航母  0.007420138323173263
34  世界  0.007207444929702846
35  上将  0.006991258237760606
36  灯塔  0.006991258237760606
37  清晰  0.006881808270196279
38  日本  0.006881808270196279
39  坐镇  0.006660094569735982
40  回复  0.006622768326800553
41  媒体  0.006585333043691491
42  越南  0.006396490736608726
43  舰队  0.006243363563806901
44  群岛  0.006180101746041755
45  导弹  0.0061272803635969535
46  条理  0.0060492869668730825
47  形式  0.0059708000076360125
48  故事  0.005931368700269337
49  战争  0.005931368700269337
50  凤凰  0.005931368700269337
51  领土  0.005905813991174729
52  描述  0.005891810672698018
53  大型  0.005852124773073141
54  5座  0.005852124773073141
55  霹雳  0.005760422585398919
56  发表  0.005732288002885947
57  裁决  0.005611256820384463
58  4座  0.005488996433449589
59  解读  0.0054479635040215295
60  四位  0.005365469962108477
61  局势  0.005365469962108477
62  发光  0.005240638244773108
63  发布  0.004986889677843275
64  政府  0.004944049076419823
65  微博  0.004901046804111778
66  美军  0.004814549684673822
67  北京  0.004771050944359221
68  总统  0.004771050944359221
69  演习  0.004639529645085791
70  黄岩  0.0044756706197284085
71  太平  0.004416780216837246
72  报道  0.004371677415115062
73  捍卫  0.004371677415115062
74  破坏  0.00432638454851638
75  支持  0.004280899014183417
76  旅游  0.004235218136989027
77  海洋  0.004189339166484892
