序号    词语          加入长度
1  股市暴跌  0.14318749967916114
2  股市大跌  0.13931516293693227
3  大跌  0.05290965710156873
4  4500点  0.05043013657185665
5  暴跌  0.059000322954332746
6  股市  0.035490178477469846
7  2015年  0.029282247601633303
8  a股  0.03999089434760553
9  沪指  0.06879060830752474
10  32  0.01485383290401114
11  失守  0.022181399356805492
12  股民  0.016874770762708588
13  导致  0.011408807290076612
14  2007年  0.01687350005398456
15  6%  0.019577299702772832
16  6月  0.014226843876064205
17  5.28  0.014724076281570922
18  全国  0.010089575987846289
19  今日  0.012448982277540719
20  中国  0.010122092063025922
21  08年  0.009863713652469276
22  跳楼  0.006919745710670234
23  5月  0.006161282064910388
24  上演  0.019343281481130688
