序号    词语          加入长度
1  转发微博  0.05911495459143141
2  南海仲裁  0.052102963966939565
3  中国  0.031021180506242616
4  doge  0.022587090863796237
5  明天  0.020837288473710025
6  南海  0.02029381392215454
7  同意  0.01902576245541875
8  菲律宾  0.018335879340565225
9  美国  0.017445533398696467
10  一点都不能少  0.0172669212332694
11  参与  0.01704708897387587
12  good  0.01668964863162514
13  投票  0.016659227289104298
14  发起  0.01664889430935218
15  选项  0.016251323715157258
16  仲裁  0.015962881458042755
17  岛礁  0.013974182856911047
18  群岛  0.01356916161775736
19  南沙  0.013469509645260393
20  表态  0.013419464776884675
21  国家  0.013356701842740626
22  50  0.013281080777729054
23  陈浩  0.013268444674819897
24  举手  0.013192431280944108
25  领土  0.012897875557602245
26  年轻  0.012748639064523976
27  主权  0.011470626059585385
28  法医  0.011015155207586034
29  秦明  0.011015155207586034
30  微笑  0.01090582796921576
31  哈哈哈  0.010015852941200583
32  外国人  0.00903425999828567
33  台湾  0.009025889041622909
34  演习  0.00896070115108971
35  支持  0.008530417689172596
36  祖国  0.00827679265073574
37  大战  0.00819133799353622
38  悲哀  0.008122638064149165
39  历史  0.008053635513263973
40  沙市  0.008001682859824985
41  中华  0.007949556437139215
42  丸子  0.007862288647269509
43  微博  0.0075260953212645705
44  cry  0.007394441255425409
45  期待  0.007255346276299396
46  独家  0.007182318211777516
47  外交部  0.007148805821532952
48  新闻  0.007090529208161592
49  接受  0.006942478885450808
50  逻辑  0.006811706643863938
51  国际  0.006584768985832892
52  清晰  0.006533949907910721
53  日本  0.00629598298898489
54  军事  0.006257032196122957
55  见证  0.005981310248217915
56  西方  0.0059015183424339195
57  国际法  0.005869245756168262
58  同传君  0.005869245756168262
59  战争  0.005780955070999665
60  吃惊  0.005740529599785069
61  世界  0.00567966473811642
62  拳头  0.005638935399965851
63  希望  0.005584081069237641
64  青年  0.005412682859922732
65  威武  0.005377599404774325
66  厕所  0.005329442335193868
67  文化  0.005315020150136677
68  回复  0.005161353178581451
69  话筒  0.005110727158041872
70  裁决  0.004933053305721207
71  兔子  0.004926584310052949
72  承认  0.004905024593756882
73  立场  0.0048834278078493274
74  团结  0.004818412889778913
75  反对  0.004774880290909169
76  转发  0.004643353823464045
77  和平  0.004532656008646227
78  视频  0.004465746645695812
79  分享  0.0043759469178918245
80  关注  0.0043759469178918245
81  面对  0.004330790405030404
82  公布  0.0041942663953514515
83  媒体  0.00407925147391254
84  平时  0.004009681064749769
85  吵架  0.00382201861110613
86  好久  0.003798335043543675
87  飞扬  0.0037508130436819547
88  7月  0.0037508130436819547
89  娱乐  0.003726973781077507
90  导弹  0.003709542691606948
91  不见  0.0036791366039708256
92  记者  0.0036310849734561093
93  青椒  0.003606977616628245
94  出炉  0.003582815285430463
95  一点  0.003582815285430463
