序号    词语          加入长度
1  转发微博  0.04809304723841933
2  南海仲裁  0.02666462017519491
3  有理有据  0.026594264263611007
4  中国  0.024841138942020443
5  南海  0.02407831821546333
6  菲律宾  0.02388168982408998
7  台湾  0.020056128330851717
8  美国  0.01875619760223551
9  铿锵有力  0.01751887033689875
10  青年  0.016255540366383815
11  good  0.015913718317260694
12  海军  0.012407344327641671
13  新闻  0.011867274476722428
14  文章  0.010907060778422503
15  分享  0.010907060778422503
16  视频  0.010694199002876579
17  主权  0.010102002093987516
18  值得  0.009715469187936655
19  军演  0.009669247935366262
20  国家  0.009482760510214013
21  徐昕  0.009053463102211534
22  国际  0.008759435168449375
23  戴军  0.008408009577778501
24  清晰  0.00835703884047849
25  仲裁  0.007675846189848334
26  客户  0.0076219499570746125
27  航母  0.007513482272928939
28  大陆  0.00750377502712633
29  世界  0.007404098961672913
30  形式  0.007404098961672913
31  岛礁  0.007404098961672913
32  条理  0.007404098961672913
33  上将  0.0073490580162577455
34  7月  0.0073490580162577455
35  越南  0.0073490580162577455
36  故事  0.007293780948985822
37  描述  0.007293780948985822
38  坐镇  0.007013763955593034
39  日本  0.006957015462979484
40  回复  0.00684275084687935
41  军事  0.006194949506607548
42  灯塔  0.006194949506607548
43  领土  0.006034481926815695
44  群岛  0.005972946759225866
45  舰队  0.005888820748532544
46  媒体  0.005701332691214085
47  四位  0.005701332691214085
48  战争  0.005574674762186533
49  5座  0.005317173798105855
50  微博  0.005317173798105855
51  导弹  0.005251893932430268
52  大型  0.005186240256676229
53  解读  0.005186240256676229
54  局势  0.005186240256676229
55  凤凰  0.005053785924985282
56  4座  0.004919757451171997
57  发布  0.004852135189375805
