序号    词语          加入长度
1  股市暴跌  0.2424762695412518
2  股市大跌  0.2189335197871714
3  大跌  0.09034010518481998
4  暴跌  0.10649652611863314
5  股市  0.06206364330769294
6  a股  0.0655648848625086
7  2015年  0.04768437891058747
8  沪指  0.12782445924441502
9  中国  0.028714985358625655
10  4500点  0.03066540330041805
11  6月  0.019021026668473797
12  2007年  0.025045587025986124
13  2000个  0.06138386325731872
14  2015  0.015747859757904457
15  股民  0.028304270820175847
16  2008年  0.02261893532092005
17  失守  0.014906341602009498
18  32  0.01579458007198824
19  证监会  0.01266961301387424
20  导致  0.011495911588934593
21  08年  0.019164344190754228
22  07年  0.014292232268624071
23  5.28  0.0132489977390455
24  今日  0.0182263916225478
25  6.26  0.010548258261691177
26  ipo  0.009092730256748465
27  26日  0.010613055105693136
28  原因  0.009552425870605523
29  6%  0.011562530404838033
30  全国  0.009280536064069504
31  7%  0.027235461937424058
32  金融  0.007133390728427915
33  7月  0.006791248806516587
34  跳楼  0.007736525136948782
35  历史  0.010817901472840221
36  国家  0.005773992404804427
37  连续  0.005970988545231106
38  政治  0.007162685682712293
39  基金  0.006690133570346675
40  经济  0.0057554405068973415
41  上演  0.011140334367780422
42  有人  0.006044450349061796
43  5月  0.005798705734228076
44  暂停  0.005562875164662965
45  政府  0.005330914202288984
