序号    词语         权重
1  长江沉船  0.08132179554355518
2  东方之星  0.07824049750476052
3  沉船事件  0.04026474591841726
4  沉船  0.03803798968185775
5  事故  0.027180548588751526
6  遇难  0.023825971965579992
7  最新  0.022722615754250462
8  长江  0.017885243999394174
9  救援  0.01075060332134209
10  新闻  0.007592979956165513
11  船长  0.004626779542475359
12  客轮  0.003372377797547127
13  相关  0.0014939569261786395
14  状况  5.5106243412094494E-5
15  幸存者  5.306739533224517E-6
