序号    词语          加入长度
1  股市暴跌  0.20917009995763908
2  股市大跌  0.19630023581304473
3  大跌  0.07630374284916078
4  暴跌  0.09161207783063285
5  股市  0.05318884090244084
6  a股  0.05652791718870861
7  2015年  0.04038959163786482
8  沪指  0.10909044100164034
9  4500点  0.03581283456806066
10  中国  0.02179226550065071
11  6月  0.019786538201373348
12  2000个  0.07101197673109902
13  股民  0.024712925145562132
14  32  0.014884303414407015
15  失守  0.01701047255604636
16  2007年  0.02115351231761138
17  2015  0.011260459248067773
18  导致  0.010735066301163774
19  证监会  0.011649002320703587
20  5.28  0.013940096770838796
21  26日  0.011851511899482036
22  2008年  0.016384613143621832
23  今日  0.017509569587254123
24  ipo  0.010460145757271952
25  6.26  0.011245239988996243
26  6%  0.013242708377339872
27  08年  0.014905495625299798
28  07年  0.011626444400613375
29  全国  0.00918406946082239
30  7%  0.03146510974757968
31  跳楼  0.0074349459279891925
32  5月  0.006015104290418279
33  历史  0.010990220694630619
34  原因  0.005962643236591431
35  上演  0.01305027125651084
36  暂停  0.006497009429036161
37  基金  0.0059551395308837275
38  有人  0.005184616501574781
