序号    词语          加入长度
1  股市大跌  0.2204451198676337
2  股市暴跌  0.2695741130665502
3  大跌  0.09403450506161565
4  暴跌  0.10699587330420852
5  a股  0.07036155542192239
6  股市  0.06519885159588064
7  沪指  0.13516280833806016
8  2015年  0.04624241498787613
9  中国  0.03724608640423196
10  4500点  0.023123171688605414
11  2015  0.01802373084697887
12  6月  0.01575013274883727
13  2007年  0.021670525800513797
14  股民  0.026242516990211757
15  2000个  0.04673100788260649
16  2008年  0.021387342755483565
17  周群飞  0.010456664226495355
18  原因  0.012279866615819732
19  证监会  0.010601953276956103
20  08年  0.017778278551618395
21  32  0.014663913154515495
22  导致  0.01007417837921481
23  失守  0.01129967934656125
24  07年  0.013231290167762557
25  蒸发  0.00867198536897138
26  今日  0.016915359788816784
27  5.28  0.010395504615710614
28  ipo  0.006914926131684648
29  6.26  0.008503860125327743
30  金融  0.009374807289920944
31  26日  0.008189114761532858
32  经济  0.007378952290665683
33  7月  0.006759703109274196
34  历史  0.009168998334599183
35  6%  0.008695275024858635
36  连续  0.005709593093145064
37  身家  0.006709876616688069
38  国家  0.00737489667359384
39  全国  0.007387061772858019
40  基金  0.0064760909052844085
41  政治  0.010715897762860095
42  7%  0.020950633039207037
43  跳楼  0.006142613750463215
44  政府  0.005202176756487859
45  近期  0.004678216131810058
46  上演  0.008395064063395918
47  有人  0.005188900735619908
48  5月  0.004827325376645331
49  影响  0.004177633765338091
50  股票  0.00435361519326891
51  暂停  0.004224103257622126
52  首富  0.006705720159972657
53  希腊  0.0039529422498265
54  房价  0.0038110764621388034
55  波及  0.09271731004532671
