序号    词语          加入长度
1  转发微博  0.052249618904472245
2  南海仲裁  0.03351723167304571
3  中国  0.026545843807868227
4  菲律宾  0.026296574999989865
5  南海  0.025658110350140352
6  有理有据  0.025427990405392824
7  美国  0.020051359631396988
8  台湾  0.019760880823886055
9  铿锵有力  0.01860101287702116
10  good  0.01808878331609178
11  青年  0.0160020108087959
12  人民日报  0.01262939811184991
13  海军  0.012267367215331915
14  新闻  0.012247990326103474
15  分享  0.011784239591347211
16  主权  0.010475517285812296
17  视频  0.010354758417067969
18  文章  0.01004200751921604
19  仲裁  0.009791416226185155
20  军演  0.00976841699591245
21  国际法  0.009437873790056882
22  国家  0.00915709254329863
23  戴军  0.009060674427879648
24  值得  0.008963597630619496
25  国际  0.008593513660408215
26  7月  0.008417424365174708
27  岛礁  0.008341275260061292
28  徐昕  0.008110303752300324
29  客户  0.008110303752300324
30  军事  0.0077962372038875676
31  大陆  0.007657883629649757
32  世界  0.007636476828552553
33  航母  0.007338635326713411
34  交通部  0.007079362675898549
35  裁决  0.006977954020267449
36  12日  0.006969589655627019
37  灯塔  0.006893318254388468
38  上将  0.0068081382432843215
39  回复  0.0067510445901156286
40  日本  0.0067510445901156286
41  清晰  0.006578258378120667
42  坐镇  0.006403150542981186
43  解放军  0.006352923605445599
44  媒体  0.006285079456929055
45  霹雳  0.006247040920809966
46  发表  0.0062256339902945065
47  导弹  0.006195807231694854
48  舰队  0.006195807231694854
49  领土  0.005873657377469337
50  越南  0.005832293593120961
51  凤凰  0.005832293593120961
52  战争  0.005739742031542493
53  条理  0.005739742031542493
54  故事  0.005708737138415228
55  大型  0.005708737138415228
56  5座  0.005677654122311303
57  形式  0.005677654122311303
58  群岛  0.005657156276438516
59  描述  0.005583930549573683
60  解读  0.0054894826713010325
61  政府  0.005457836221503796
62  局势  0.0052983463452968
63  4座  0.005233950964195419
64  微博  0.005169204662221243
65  四位  0.005104101590942273
66  发光  0.005005764757769186
67  破坏  0.004939742849985549
68  发布  0.004906590241130806
69  演习  0.004873342073180182
70  北京  0.004873342073180182
71  太平  0.004839997485353201
72  美军  0.004773015528280322
73  部署  0.004705637162856461
74  支持  0.004637854910082787
75  博文  0.004603809910557323
76  捍卫  0.0045010473714204215
77  总统  0.004466580548547644
78  废纸  0.004432005620357742
79  报道  0.0043625270135642805
80  专家  0.004197503503903075
81  袁岳  0.00418685857119022
82  旅游  0.004115776698550009
83  一张  0.004115776698550009
84  海洋  0.0040800560556819455
85  紧张  0.004044213796975749
86  黄岩  0.004018890089308072
87  和平  0.0038996001576738866
