序号    词语          加入长度
1  长江沉船  0.060581875923713495
2  沉船事件  0.05626711957036643
3  事故  0.038195931164217996
4  遇难  0.03590294929608329
5  最新  0.033713146227124444
6  救援  0.02967988398442736
7  新闻  0.027171721745917123
8  曝光  0.02483882642984443
9  船长  0.023935135235976387
10  状况  0.022619883687545406
11  信息  0.022209008569810316
12  相关  0.022190108011833718
13  百度  0.022101053146719136
14  396  0.020538449927394432
15  客轮  0.020482474421755385
16  人员  0.018832113667212668
17  首次  0.01842131290607108
18  幸存者  0.018180511684566265
19  消息  0.01780104315752881
20  人数  0.017687845781623024
21  331  0.015714391644950306
22  名单  0.015542325490991146
23  现场  0.01519137559117143
24  中国  0.014528559473825187
25  打捞  0.014394190376845271
26  视频  0.013366568166958751
27  小时  0.013319489422164054
28  遗物  0.01279773058714714
29  原因  0.01273079018054401
30  12个  0.012624700446995091
31  清理  0.012272013023247309
32  直播  0.01219887893830295
33  遗体  0.012132078469534294
34  倾覆  0.011448903252273619
35  工作  0.010996160523304141
36  潜水员  0.010861547766353726
37  龙卷风  0.010767820582008151
38  疑问  0.010763931528882694
39  客船  0.010450877028896723
40  2015年  0.010437309691097222
41  船体  0.010198210572587955
42  乘客  0.010078566958732875
43  李克强  0.010074679316591938
44  中心  0.00981128206268238
45  游客  0.009226145927686804
46  生死  0.009140241434224438
47  下落不明  0.00912064210606457
48  发生  0.009111090024773054
49  家属  0.008944756773639595
50  频道  0.008726624087927374
51  照片  0.008650738317119403
52  14  0.008588659133235513
53  获救  0.008555957205055604
54  图片  0.008460002087120971
55  事发  0.008260357483065943
56  微博  0.008260159518133862
57  dna  0.008169880113727478
58  搜狐  0.007860543624726012
59  逃生  0.00780431160654241
60  3岁  0.0078026757042189455
61  完整  0.007692648739263669
62  女孩  0.007680510547004254
63  公布  0.0075504626413061176
64  泰坦尼克号  0.007497133628258193
65  游轮  0.007450330632015976
66  生还  0.007359146788674045
67  凤凰  0.00713457878686876
68  沉没  0.007073583716880186
69  458  0.007036795178083091
70  湖北  0.007000873603343082
71  进展  0.00684194806752796
72  真相  0.0065521263134825265
73  论坛  0.0065327781235671595
74  6月  0.006505254244015749
75  消防  0.006321752843521682
76  在线  0.0062599042043581625
77  回忆  0.00622203576343549
78  新闻网  0.006164212146294138
79  找到  0.006134186492796865
80  整体  0.006105671266851056
81  专家  0.005964129082031876
82  监利  0.005921798917855075
83  张顺文  0.005873428640788773
84  位置  0.005840578382820981
85  财经  0.0057690869544574815
86  6.1  0.005601104808224976
87  发现  0.005556918577803396
88  狂风暴雨  0.005530664882653086
89  一等功  0.0054454025905776035
90  妻子  0.005302593661124919
91  7年  0.005226360630884805
92  今日  0.005216359035028593
93  同船  0.005198190144926447
94  掌舵  0.005196717152536272
95  资讯  0.005139408490398384
96  露出  0.005124665069405918
97  国内  0.005045426139512906
98  面孔  0.005005710254141074
99  轮机长  0.004995824384219342
100  过程  0.004988612704604065
