序号    词语          加入长度
1  股市暴跌  0.28799595932369465
2  股市大跌  0.29904352147570823
3  2015年  0.10375957785151582
4  大跌  0.14507764371068121
5  暴跌  0.1205218972454667
6  股市  0.11516053220247872
7  16日  0.049353002852145174
8  28日  0.04320894656808026
9  希腊  0.027071445330157887
10  2007年  0.06722138387940127
11  5.28  0.08907433629694432
12  a股  0.0894686724905457
13  谈判  0.02552788526221769
14  沪指  0.08144934981326046
15  08年  0.04350978671929644
16  今日  0.06209854994431713
17  6月  0.04631448223012322
18  破裂  0.025332275847748262
19  股民  0.031138277927515386
20  财经  0.02211474290161788
21  5月  0.03514826296760396
