序号    词语          加入长度
1  股市暴跌  0.22307054716618263
2  股市大跌  0.20657248429636207
3  大跌  0.0822190525880817
4  暴跌  0.09817297463856019
5  股市  0.05742748439532649
6  a股  0.06035970462064247
7  2015年  0.042918323707458336
8  沪指  0.11753566238976948
9  4500点  0.03390258143297993
10  中国  0.02400748595231726
11  6月  0.019751437728209944
12  2000个  0.06747599721696522
13  2007年  0.0228125445084118
14  股民  0.02570012418956565
15  2015  0.012707429412904607
16  32  0.01528451519053213
17  失守  0.016293353028903234
18  证监会  0.012022519114679251
19  导致  0.011047593058181366
20  2008年  0.018054444914763
21  5.28  0.01373062292666319
22  今日  0.01830380967786293
23  26日  0.011508387815875522
24  ipo  0.010004830904249177
25  6.26  0.010796702517980554
26  08年  0.016906145333422797
27  07年  0.012972531693627332
28  6%  0.012596804392055405
29  全国  0.009281063087162044
30  7%  0.029908416261262404
31  原因  0.007393834599712831
32  历史  0.01083376899408812
33  跳楼  0.007347408521167213
34  5月  0.00592288533903505
35  基金  0.006083586960638262
36  7月  0.005240067987438994
37  有人  0.005491362056458317
38  金融  0.0048245526622054365
39  上演  0.012351440391256715
40  暂停  0.006173954908990203
41  连续  0.0048024564761193584
